"from","to","weight","association","res_cor"
"Navicula_ASV_10078","Ectocarpus_ASV_8433",0.522942095090706,"positive",0.522942095090706
"Navicula_ASV_10078","Navicula_ASV_10098",0.644996555842583,"positive",0.644996555842583
"Navicula_ASV_10078","Costaria_ASV_10957",0.609274720144806,"positive",0.609274720144806
"Navicula_ASV_10098","Costaria_ASV_10957",0.674546491162114,"positive",0.674546491162114
"Navicula_ASV_10078","Pterocystida_ASV_21672",0.599538390970315,"positive",0.599538390970315
"Navicula_ASV_10098","Pterocystida_ASV_21672",0.556903407913876,"positive",0.556903407913876
"Costaria_ASV_10957","Pterocystida_ASV_21672",0.525483734738158,"positive",0.525483734738158
"Navicula_ASV_10078","Placuna_ASV_17776",0.621723287823115,"positive",0.621723287823115
"Navicula_ASV_10078","Mediophyceae_ASV_10516",0.755196106169332,"positive",0.755196106169332
"Ectocarpus_ASV_8433","Mediophyceae_ASV_10516",0.509384665772377,"positive",0.509384665772377
"Navicula_ASV_10098","Mediophyceae_ASV_10516",0.6149033622641,"positive",0.6149033622641
"Costaria_ASV_10957","Mediophyceae_ASV_10516",0.580918380086395,"positive",0.580918380086395
"Pterocystida_ASV_21672","Mediophyceae_ASV_10516",0.576062148699906,"positive",0.576062148699906
"Placuna_ASV_17776","Mediophyceae_ASV_10516",0.60162535966076,"positive",0.60162535966076
"Navicula_ASV_10078","Grammonema_ASV_10016",0.530200149401317,"positive",0.530200149401317
"Navicula_ASV_10098","Grammonema_ASV_10016",0.69243615082396,"positive",0.69243615082396
"Costaria_ASV_10957","Grammonema_ASV_10016",0.651737480801619,"positive",0.651737480801619
"Mediophyceae_ASV_10516","Grammonema_ASV_10016",0.50115623646236,"positive",0.50115623646236
"Navicula_ASV_10078","Bacillariophyceae_ASV_10175",0.642439986538121,"positive",0.642439986538121
"Placuna_ASV_17776","Bacillariophyceae_ASV_10175",0.528824488850731,"positive",0.528824488850731
"Mediophyceae_ASV_10516","Bacillariophyceae_ASV_10175",0.623798221363491,"positive",0.623798221363491
"Tiaropsidium_ASV_16743","Ephelota_ASV_4014",0.507481634307314,"positive",0.507481634307314
"Grammonema_ASV_10016","Ephelota_ASV_4014",0.530415217271505,"negative",-0.530415217271505
"Navicula_ASV_10078","Telonema-Group-1_ASV_18184",0.589044137104766,"positive",0.589044137104766
"Mediophyceae_ASV_10516","Telonema-Group-1_ASV_18184",0.574868852847258,"positive",0.574868852847258
"Bacillariophyceae_ASV_10175","Telonema-Group-1_ASV_18184",0.558477573550325,"positive",0.558477573550325
"Navicula_ASV_10078","Naviculaceae_ASV_9847",0.707392223760642,"positive",0.707392223760642
"Navicula_ASV_10098","Naviculaceae_ASV_9847",0.67747388707647,"positive",0.67747388707647
"Costaria_ASV_10957","Naviculaceae_ASV_9847",0.639085356369393,"positive",0.639085356369393
"Pterocystida_ASV_21672","Naviculaceae_ASV_9847",0.574136559426143,"positive",0.574136559426143
"Placuna_ASV_17776","Naviculaceae_ASV_9847",0.542870310523878,"positive",0.542870310523878
"Mediophyceae_ASV_10516","Naviculaceae_ASV_9847",0.678848194161503,"positive",0.678848194161503
"Grammonema_ASV_10016","Naviculaceae_ASV_9847",0.610146383297338,"positive",0.610146383297338
"Bacillariophyceae_ASV_10175","Naviculaceae_ASV_9847",0.534674886547925,"positive",0.534674886547925
"Navicula_ASV_10078","Heribaudiella_ASV_10928",0.605591320849151,"positive",0.605591320849151
"Mediophyceae_ASV_10516","Heribaudiella_ASV_10928",0.587185020144312,"positive",0.587185020144312
"Bacillariophyceae_ASV_10175","Heribaudiella_ASV_10928",0.528917280289641,"positive",0.528917280289641
"Telonema-Group-1_ASV_18184","Heribaudiella_ASV_10928",0.509725316651231,"positive",0.509725316651231
"Naviculaceae_ASV_9847","Heribaudiella_ASV_10928",0.514316397700107,"positive",0.514316397700107
"Navicula_ASV_10078","Bacillariophyceae_ASV_6651",0.627293487626114,"positive",0.627293487626114
"Placuna_ASV_17776","Bacillariophyceae_ASV_6651",0.509077507706406,"positive",0.509077507706406
"Mediophyceae_ASV_10516","Bacillariophyceae_ASV_6651",0.607610729457131,"positive",0.607610729457131
