"site","season","OTU_Label","display_label","Class","abund_weight","PE","wPE","PET","wPET"
"SELVA","Winter","Arthropoda_ASV_17239","Arthropoda_ASV_17239","Arthropoda",0.00742754009626867,"higher_occurrence","higher_occurrence","ns","ns"
"SELVA","Winter","Bryocamptus_ASV_13856","Bryocamptus_stillae","Arthropoda",0.0116424898023506,"ns","ns","lower_occurrence","ns"
"SELVA","Winter","Lichomolgus_ASV_17960","Lichomolgus_marginatus","Arthropoda",0.0134862172140246,"ns","lower_occurrence","ns","ns"
"SELVA","Winter","Amphora_ASV_11507","Amphora_coffeaeformis","Bacillariophyceae",0.00945869703897539,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Bacillariaceae_ASV_10168","Bacillariaceae_ASV_10168","Bacillariophyceae",0.0240582630784565,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Bacillariophyceae_ASV_10048","Bacillariophyceae_ASV_10048","Bacillariophyceae",0.00372879780362279,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Bacillariophyceae_ASV_10151","Bacillariophyceae_ASV_10151","Bacillariophyceae",0.00433295777359638,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Bacillariophyceae_ASV_10160","Bacillariophyceae_ASV_10160","Bacillariophyceae",0.00707716203494456,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Bacillariophyceae_ASV_10175","Bacillariophyceae_ASV_10175","Bacillariophyceae",0.113355999219255,"ns","higher_occurrence","higher_occurrence","ns"
"SELVA","Winter","Bacillariophyceae_ASV_11568","Bacillariophyceae_ASV_11568","Bacillariophyceae",0.00520331110656974,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Bacillariophyceae_ASV_9683","Bacillariophyceae_ASV_9683","Bacillariophyceae",0.00514705443361357,"ns","higher_occurrence","ns","higher_occurrence"
"SELVA","Winter","Bacillariophyceae_ASV_9843","Bacillariophyceae_ASV_9843","Bacillariophyceae",0.00384803533276133,"ns","higher_occurrence","higher_occurrence","ns"
"SELVA","Winter","Bacillariophyceae_ASV_9918","Bacillariophyceae_ASV_9918","Bacillariophyceae",0.00595938222893109,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Bacillariophyceae_ASV_9977","Bacillariophyceae_ASV_9977","Bacillariophyceae",0.00531940047400552,"ns","higher_occurrence","ns","higher_occurrence"
"SELVA","Winter","Craticula_ASV_10145","Craticula_importuna","Bacillariophyceae",0.00989127748996579,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Fragilariaceae_ASV_10037","Fragilariaceae_ASV_10037","Bacillariophyceae",0.00510758859603341,"higher_occurrence","higher_occurrence","higher_occurrence","ns"
"SELVA","Winter","Haslea_ASV_9240","Haslea_avium","Bacillariophyceae",0.00562379525782393,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Navicula_ASV_10078","Navicula sp. Navicula_ASV_10078","Bacillariophyceae",1,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"higher_occurrence","higher_occurrence","ns","ns"
"SELVA","Winter","Navicula_ASV_9836","Navicula sp. Navicula_ASV_9836","Bacillariophyceae",0.00445255501471619,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Navicula_ASV_10098","Navicula_tripunctata","Bacillariophyceae",0.360488616668932,"ns","higher_occurrence","higher_occurrence","ns"
"SELVA","Winter","Naviculaceae_ASV_9674","Naviculaceae_ASV_9674","Bacillariophyceae",0.0140981907625539,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Naviculaceae_ASV_9847","Naviculaceae_ASV_9847","Bacillariophyceae",0.0492687484349638,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",0.00525138082428398,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Pleurosigma_ASV_10232","Pleurosigma_sp.","Bacillariophyceae",0.00670476120668429,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Scruparia_ASV_17844","Scruparia_chelata","Bryozoa",0.00354898464132286,"lower_occurrence","ns","ns","ns"
"SELVA","Winter","Chrysolepidomonas_ASV_8860","Chrysolepidomonas_dendrolepidota","Chrysophyceae",0.00535215397275536,"higher_occurrence","higher_occurrence","ns","ns"
"SELVA","Winter","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Euglyphida_XX_ASV_18003","Euglyphida_XX_sp.","Filosa-Imbricatea",0.00613582712961361,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Reckertia_ASV_15655","Reckertia_filosa","Filosa-Imbricatea",0.0112934858154967,"ns","higher_occurrence","ns","ns"
"SELVA","Winter","Metromonas_ASV_18427","Metromonas_simplex","Filosa-Metromonadea",0.0101432011440985,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","CCW10-lineage_X_ASV_13480","CCW10-lineage_X_sp.","Filosa-Thecofilosea",0.0165672668778924,"ns","ns","lower_occurrence","ns"
"SELVA","Winter","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Chaetoceros_ASV_11054","Chaetoceros_socialis","Mediophyceae",0.00410327560461157,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Mediophyceae_ASV_10516","Mediophyceae_ASV_10516","Mediophyceae",0.189553171114519,"ns","higher_occurrence","higher_occurrence","ns"
"SELVA","Winter","Zoothamnium_1_ASV_32734","Zoothamnium_1 sp. Zoothamnium_1_ASV_32734","Oligohymenophorea",0.00334220697543091,"ns","lower_occurrence","ns","ns"
"SELVA","Winter","Zoothamnium_1_ASV_32724","Zoothamnium_duplicatum","Oligohymenophorea",0.00560577568535533,"ns","ns","ns","lower_occurrence"
"SELVA","Winter","Ectocarpus_ASV_8444","Ectocarpus sp. Ectocarpus_ASV_8444","Phaeophyceae",0.0054386251107201,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Phaeophyceae_XX_ASV_8454","Phaeophyceae_XX_ASV_8454","Phaeophyceae",0.0332017107611982,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Phaeophyceae_XX_ASV_8507","Phaeophyceae_XX_ASV_8507","Phaeophyceae",0.0223071642164869,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Scytosiphon_ASV_8447","Scytosiphon_lomentaria","Phaeophyceae",0.0315467247510273,"ns","ns","lower_occurrence","ns"
"SELVA","Winter","Stypopodium_ASV_10934","Stypopodium_sp.","Phaeophyceae",0.0604697942672649,"higher_occurrence","higher_occurrence","ns","ns"
"SELVA","Winter","Ephelota_ASV_4004","Ephelota sp. Ephelota_ASV_4004","Phyllopharyngea",0.128115449239633,"lower_occurrence","ns","ns","ns"
"SELVA","Winter","Ephelota_ASV_1009","Ephelota_sp.","Phyllopharyngea",0.0593685879460245,"lower_occurrence","ns","ns","ns"
"SELVA","Winter","Ephelota_ASV_4846","Ephelota_sp.","Phyllopharyngea",0.00801828383670939,"ns","ns","ns","lower_occurrence"
"SELVA","Winter","Suctoria_XX_ASV_12412","Suctoria_XX_sp.","Phyllopharyngea",0.0654451614603183,"ns","lower_occurrence","ns","ns"
"SELVA","Winter","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Pterocystida_ASV_21674","Pterocystida_ASV_21674","Pterocystida",0.259180272858613,"ns","ns","lower_occurrence","ns"
"SELVA","Winter","Pterocystida_ASV_21754","Pterocystida_ASV_21754","Pterocystida",0.0238639402855329,"lower_occurrence","lower_occurrence","ns","ns"
"SELVA","Winter","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Spirotrichea_ASV_12539","Spirotrichea_ASV_12539","Spirotrichea",0.0128991934202361,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Spirotrichea_ASV_33143","Spirotrichea_ASV_33143","Spirotrichea",0.0606321955611392,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","Dino-Group-I-Clade-1_X_ASV_20870","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.00632974617094253,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Dino-Group-I-Clade-1_X_ASV_21077","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.010750244814223,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0242859399649427,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Dino-Group-I-Clade-1_X_ASV_25263","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0240898296765062,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",0.0110589855552618,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
"SELVA","Winter","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Winter","OTU_ASV_15511","OTU_ASV_15511",NA,0.00888351242421432,"ns","ns","ns","higher_occurrence"
"SELVA","Winter","OTU_ASV_22253","OTU_ASV_22253",NA,0.00904047638729477,"ns","ns","lower_occurrence","ns"
"SELVA","Winter","OTU_ASV_8306","OTU_ASV_8306",NA,0.0259039248074247,"higher_occurrence","ns","ns","ns"
"SELVA","Winter","OTU_ASV_9154","OTU_ASV_9154",NA,0.00693922352904969,"higher_occurrence","ns","lower_occurrence","ns"
"SELVA","Spring","Craticula_ASV_10145","Craticula_importuna","Bacillariophyceae",0.00989127748996579,"ns","ns","higher_occurrence","ns"
"SELVA","Spring","Pleurosigma_ASV_10232","Pleurosigma_sp.","Bacillariophyceae",0.00670476120668429,"ns","ns","higher_occurrence","ns"
"SELVA","Spring","Chrysolepidomonas_ASV_8860","Chrysolepidomonas_dendrolepidota","Chrysophyceae",0.00535215397275536,"higher_occurrence","ns","ns","ns"
"SELVA","Spring","Reckertia_ASV_15655","Reckertia_filosa","Filosa-Imbricatea",0.0112934858154967,"ns","higher_occurrence","ns","ns"
"SELVA","Spring","Metromonas_ASV_18427","Metromonas_simplex","Filosa-Metromonadea",0.0101432011440985,"higher_occurrence","ns","ns","ns"
"SELVA","Spring","CCW10-lineage_X_ASV_13480","CCW10-lineage_X_sp.","Filosa-Thecofilosea",0.0165672668778924,"ns","ns","lower_occurrence","ns"
"SELVA","Spring","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"ns","higher_occurrence","ns","ns"
"SELVA","Spring","Spirotrichea_ASV_12539","Spirotrichea_ASV_12539","Spirotrichea",0.0128991934202361,"ns","ns","ns","higher_occurrence"
"SELVA","Spring","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"higher_occurrence","ns","ns","higher_occurrence"
"SELVA","Spring","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",0.0110589855552618,"ns","lower_occurrence","lower_occurrence","lower_occurrence"
"SELVA","Spring","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"higher_occurrence","ns","ns","ns"
"SELVA","Spring","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"higher_occurrence","ns","higher_occurrence","ns"
"SELVA","Spring","OTU_ASV_17235","OTU_ASV_17235",NA,0.0162757430299401,"ns","ns","ns","higher_occurrence"
"SELVA","Summer","Bacillariophyceae_ASV_9918","Bacillariophyceae_ASV_9918","Bacillariophyceae",0.00595938222893109,"higher_occurrence","ns","higher_occurrence","ns"
"SELVA","Summer","Bacillariophyceae_ASV_9977","Bacillariophyceae_ASV_9977","Bacillariophyceae",0.00531940047400552,"ns","higher_occurrence","ns","higher_occurrence"
"SELVA","Summer","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"higher_occurrence","ns","ns","ns"
"SELVA","Summer","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",0.00525138082428398,"ns","higher_occurrence","ns","ns"
"SELVA","Summer","Electra_ASV_17846","Electra_pilosa","Bryozoa",0.688362437426214,"higher_occurrence","ns","ns","ns"
"SELVA","Summer","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"ns","ns","higher_occurrence","ns"
"SELVA","Summer","Mediophyceae_ASV_10516","Mediophyceae_ASV_10516","Mediophyceae",0.189553171114519,"ns","ns","lower_occurrence","ns"
"SELVA","Summer","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"ns","ns","ns","higher_occurrence"
"SELVA","Summer","Heribaudiella_ASV_10928","Heribaudiella_fluviatilis","Phaeophyceae",0.0603023398795338,"ns","ns","lower_occurrence","ns"
"SELVA","Summer","Ephelota_ASV_4004","Ephelota sp. Ephelota_ASV_4004","Phyllopharyngea",0.128115449239633,"lower_occurrence","ns","ns","ns"
"SELVA","Summer","Suctoria_XX_ASV_12412","Suctoria_XX_sp.","Phyllopharyngea",0.0654451614603183,"ns","lower_occurrence","ns","ns"
"SELVA","Summer","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"ns","ns","ns","higher_occurrence"
"SELVA","Summer","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"higher_occurrence","higher_occurrence","higher_occurrence","ns"
"SELVA","Summer","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"ns","higher_occurrence","ns","higher_occurrence"
"SELVA","Fall","Arthropoda_ASV_17239","Arthropoda_ASV_17239","Arthropoda",0.00742754009626867,"ns","higher_occurrence","ns","ns"
"SELVA","Fall","Bacillariophyceae_ASV_10048","Bacillariophyceae_ASV_10048","Bacillariophyceae",0.00372879780362279,"ns","ns","lower_occurrence","ns"
"SELVA","Fall","Bacillariophyceae_ASV_9683","Bacillariophyceae_ASV_9683","Bacillariophyceae",0.00514705443361357,"ns","ns","ns","lower_occurrence"
